Member State,Member State Code,Category,Year,Month,Thousand tonnes
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,March,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,April,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,May,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,June,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,July,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,August,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,September,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,October,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,November,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2006,December,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,January,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,February,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,March,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,April,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,May,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,June,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,July,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,August,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,September,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,October,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,November,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2005,December,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,January,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,February,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,March,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,April,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,May,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,June,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,July,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,August,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,September,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,October,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,November,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2004,December,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,January,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,February,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,March,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,April,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,May,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,June,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,July,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,August,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,September,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,October,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,November,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2003,December,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,January,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,February,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,March,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,April,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,May,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,June,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,July,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,August,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,September,2.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2002,October,2.00
