Member State,Member State Code,Category,Year,Month,Thousand tonnes
Austria,AT,Total raw cow's milk delivered to dairies,2014,August,247.65
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,September,2.57
Austria,AT,Total raw cow's milk delivered to dairies,2014,September,232.02
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,October,2.78
Austria,AT,Total raw cow's milk delivered to dairies,2014,October,240.58
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,November,2.70
Austria,AT,Total raw cow's milk delivered to dairies,2014,November,231.04
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,December,2.64
Austria,AT,Total raw cow's milk delivered to dairies,2014,December,244.61
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,January,2.96
Austria,AT,Total raw cow's milk delivered to dairies,2013,January,249.97
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,February,2.95
Austria,AT,Total raw cow's milk delivered to dairies,2013,February,232.18
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,March,2.99
Austria,AT,Total raw cow's milk delivered to dairies,2013,March,262.72
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,April,3.20
Austria,AT,Total raw cow's milk delivered to dairies,2013,April,258.80
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,May,2.96
Austria,AT,Total raw cow's milk delivered to dairies,2013,May,273.15
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,June,2.49
Austria,AT,Total raw cow's milk delivered to dairies,2013,June,245.60
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,July,2.66
Austria,AT,Total raw cow's milk delivered to dairies,2013,July,243.93
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,August,2.37
Austria,AT,Total raw cow's milk delivered to dairies,2013,August,232.77
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,September,2.57
Austria,AT,Total raw cow's milk delivered to dairies,2013,September,226.32
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,October,3.13
Austria,AT,Total raw cow's milk delivered to dairies,2013,October,235.31
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,November,3.16
Austria,AT,Total raw cow's milk delivered to dairies,2013,November,227.11
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,December,3.10
Austria,AT,Total raw cow's milk delivered to dairies,2013,December,245.40
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,January,3.29
Austria,AT,Total raw cow's milk delivered to dairies,2012,January,255.09
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,February,3.10
Austria,AT,Total raw cow's milk delivered to dairies,2012,February,240.61
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,March,3.45
Austria,AT,Total raw cow's milk delivered to dairies,2012,March,266.59
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,April,3.25
Austria,AT,Total raw cow's milk delivered to dairies,2012,April,265.92
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,May,3.13
Austria,AT,Total raw cow's milk delivered to dairies,2012,May,280.43
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,June,2.84
Austria,AT,Total raw cow's milk delivered to dairies,2012,June,254.51
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,July,2.57
Austria,AT,Total raw cow's milk delivered to dairies,2012,July,248.09
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,August,2.59
Austria,AT,Total raw cow's milk delivered to dairies,2012,August,234.81
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,September,2.18
Austria,AT,Total raw cow's milk delivered to dairies,2012,September,225.86
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,October,2.85
Austria,AT,Total raw cow's milk delivered to dairies,2012,October,233.22
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,November,2.94
Austria,AT,Total raw cow's milk delivered to dairies,2012,November,221.37
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,December,2.78
Austria,AT,Total raw cow's milk delivered to dairies,2012,December,237.63
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,January,3.05
Austria,AT,Total raw cow's milk delivered to dairies,2011,January,241.08
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,February,2.72
Austria,AT,Total raw cow's milk delivered to dairies,2011,February,224.62
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,March,3.05
Austria,AT,Total raw cow's milk delivered to dairies,2011,March,254.98
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,April,2.99
Austria,AT,Total raw cow's milk delivered to dairies,2011,April,255.92
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,May,3.04
Austria,AT,Total raw cow's milk delivered to dairies,2011,May,268.95
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,June,2.54
Austria,AT,Total raw cow's milk delivered to dairies,2011,June,247.14
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,July,2.69
