STATISTIC,STATISTIC Label,TLIST(A1),Year,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJA08,Feed Stuff Price,2018,2018,10,Pig fattening meal (13-15% protein),Euro per Tonne,312.6666667
AJA08,Feed Stuff Price,2018,2018,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,368.0833333
AJA08,Feed Stuff Price,2018,2018,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,314.5010965
AJA08,Feed Stuff Price,2018,2018,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,279.1583333
AJA08,Feed Stuff Price,2018,2018,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,288.6238095
AJA08,Feed Stuff Price,2018,2018,18,Dairy meal (16-18% protein),Euro per Tonne,270.0050505
AJA08,Feed Stuff Price,2018,2018,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,22,Layers' mash (14-16% protein),Euro per Tonne,365.7833333
AJA08,Feed Stuff Price,2018,2018,23,Broiler starter (22-24% protein),Euro per Tonne,424.8454546
AJA08,Feed Stuff Price,2018,2018,24,Broiler finisher (19-21% protein),Euro per Tonne,411.2045455
AJA08,Feed Stuff Price,2018,2018,25,Milk replacer,Euro per Tonne,2090.957151
AJA08,Feed Stuff Price,2018,2018,26,Wheat,Euro per Tonne,221.0386905
AJA08,Feed Stuff Price,2018,2018,27,Ewe feed coarse (16-20% protein),Euro per Tonne,290.6602564
AJA08,Feed Stuff Price,2018,2018,28,Ewe pellets/nuts (16-20%),Euro per Tonne,296.224359
AJA08,Feed Stuff Price,2018,2018,29,Lamb feed (16-20% protein),Euro per Tonne,300.7204546
AJA08,Feed Stuff Price,2018,2018,30,Cattle fattening meal (13-15% protein),Euro per Tonne,274.451596
AJA08,Feed Stuff Price,2019,2019,1,Rolled barley,Euro per Tonne,241.9782476
AJA08,Feed Stuff Price,2019,2019,4,Soya bean meal,Euro per Tonne,390.0528388
AJA08,Feed Stuff Price,2019,2019,5,Barley meal,Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,6,Maize meal,Euro per Tonne,235.7178571
AJA08,Feed Stuff Price,2019,2019,7,Flaked maize,Euro per Tonne,383.8472222
AJA08,Feed Stuff Price,2019,2019,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,10,Pig fattening meal (13-15% protein),Euro per Tonne,335.375
AJA08,Feed Stuff Price,2019,2019,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,376.4583333
AJA08,Feed Stuff Price,2019,2019,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,323.1199074
AJA08,Feed Stuff Price,2019,2019,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,286.1780472
AJA08,Feed Stuff Price,2019,2019,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,296.8945175
AJA08,Feed Stuff Price,2019,2019,18,Dairy meal (16-18% protein),Euro per Tonne,275.627904
AJA08,Feed Stuff Price,2019,2019,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2019,2019,22,Layers' mash (14-16% protein),Euro per Tonne,369.5916667
AJA08,Feed Stuff Price,2019,2019,23,Broiler starter (22-24% protein),Euro per Tonne,427.95
AJA08,Feed Stuff Price,2019,2019,24,Broiler finisher (19-21% protein),Euro per Tonne,413.2708333
AJA08,Feed Stuff Price,2019,2019,25,Milk replacer,Euro per Tonne,2148.091468
AJA08,Feed Stuff Price,2019,2019,26,Wheat,Euro per Tonne,238.5208333
AJA08,Feed Stuff Price,2019,2019,27,Ewe feed coarse (16-20% protein),Euro per Tonne,297.2051282
AJA08,Feed Stuff Price,2019,2019,28,Ewe pellets/nuts (16-20%),Euro per Tonne,304.0080128
AJA08,Feed Stuff Price,2019,2019,29,Lamb feed (16-20% protein),Euro per Tonne,298.3636364
AJA08,Feed Stuff Price,2019,2019,30,Cattle fattening meal (13-15% protein),Euro per Tonne,281.1485137
AJA08,Feed Stuff Price,2020,2020,1,Rolled barley,Euro per Tonne,220.7458333
AJA08,Feed Stuff Price,2020,2020,4,Soya bean meal,Euro per Tonne,398.9684343
AJA08,Feed Stuff Price,2020,2020,5,Barley meal,Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,6,Maize meal,Euro per Tonne,233.8104396
AJA08,Feed Stuff Price,2020,2020,7,Flaked maize,Euro per Tonne,373.5416667
AJA08,Feed Stuff Price,2020,2020,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,10,Pig fattening meal (13-15% protein),Euro per Tonne,328.8214286
AJA08,Feed Stuff Price,2020,2020,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,367.0357143
AJA08,Feed Stuff Price,2020,2020,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,318.7
AJA08,Feed Stuff Price,2020,2020,14,Calf meal (16-18% protein),Euro per Tonne,
