Member State,Member State Code,Category,Year,Month,Thousand tonnes
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,January,6.71
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,February,11.62
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,March,24.43
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,April,29.6
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,May,32.01
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,June,29.09
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,July,29.26
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,August,28.6
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,September,23.68
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,October,21.57
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,January,6.53
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,February,10.73
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,March,26.9
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,April,30.53
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,May,31.36
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,June,31.45
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,July,30.77
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,August,28.83
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,September,26.49
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,October,22.05
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,November,17.79
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,December,12.17
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,January,7.2
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,February,11.24
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,March,22.56
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,April,28.99
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,May,29.81
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,June,30.26
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,July,30.9
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,August,26.16
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,September,24.02
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,October,22.93
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,November,17.64
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,December,13.01
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,January,8.18
