Year,Week,Member State,Product,Begin Date,End Date,Price (�/100kg)
2000,17,Austria,BUTTER,24/04/2000,30/04/2000,324.48
2000,16,Belgium,BUTTER,17/04/2000,23/04/2000,295.98
2000,16,Germany,BUTTER,17/04/2000,23/04/2000,321.09
2000,16,Ireland,BUTTER,17/04/2000,23/04/2000,292.04
2000,16,Greece,BUTTER,17/04/2000,23/04/2000,444.96
2000,16,Spain,BUTTER,17/04/2000,23/04/2000,294.5
2000,16,France,BUTTER,17/04/2000,23/04/2000,293.46
2000,16,Italy,BUTTER,17/04/2000,23/04/2000,245.63
2000,16,Netherlands,BUTTER,17/04/2000,23/04/2000,301.76
2000,16,Austria,BUTTER,17/04/2000,23/04/2000,324.48
2000,16,Sweden,BUTTER,17/04/2000,23/04/2000,331.85
2000,15,Belgium,BUTTER,10/04/2000,16/04/2000,296.36
2000,15,Germany,BUTTER,10/04/2000,16/04/2000,321.09
2000,15,Ireland,BUTTER,10/04/2000,16/04/2000,292.04
2000,15,Greece,BUTTER,10/04/2000,16/04/2000,445.51
2000,15,Spain,BUTTER,10/04/2000,16/04/2000,288.49
2000,15,France,BUTTER,10/04/2000,16/04/2000,293.46
2000,15,Netherlands,BUTTER,10/04/2000,16/04/2000,299.49
2000,15,Austria,BUTTER,10/04/2000,16/04/2000,324.48
2000,14,Belgium,BUTTER,03/04/2000,09/04/2000,298.22
2000,14,Denmark,BUTTER,03/04/2000,09/04/2000,377.3
2000,14,Germany,BUTTER,03/04/2000,09/04/2000,321.09
2000,14,Ireland,BUTTER,03/04/2000,09/04/2000,292.04
2000,14,Greece,BUTTER,03/04/2000,09/04/2000,437.57
2000,14,Spain,BUTTER,03/04/2000,09/04/2000,288.49
2000,14,France,BUTTER,03/04/2000,09/04/2000,293.46
2000,14,Italy,BUTTER,03/04/2000,09/04/2000,245.63
2000,14,Netherlands,BUTTER,03/04/2000,09/04/2000,299.49
2000,14,Austria,BUTTER,03/04/2000,09/04/2000,324.48
2000,13,Belgium,BUTTER,27/03/2000,02/04/2000,494.18
2000,13,Denmark,BUTTER,27/03/2000,02/04/2000,377.36
2000,13,Germany,BUTTER,27/03/2000,02/04/2000,321.09
2000,13,Ireland,BUTTER,27/03/2000,02/04/2000,292.04
2000,13,Greece,BUTTER,27/03/2000,02/04/2000,438.04
2000,13,Spain,BUTTER,27/03/2000,02/04/2000,288.49
2000,13,France,BUTTER,27/03/2000,02/04/2000,293.46
2000,13,Italy,BUTTER,27/03/2000,02/04/2000,245.63
2000,13,Netherlands,BUTTER,27/03/2000,02/04/2000,299.49
2000,13,Austria,BUTTER,27/03/2000,02/04/2000,324.48
2000,13,Sweden,BUTTER,27/03/2000,02/04/2000,331.1
2000,12,Belgium,BUTTER,20/03/2000,26/03/2000,295.86
2000,12,Denmark,BUTTER,20/03/2000,26/03/2000,377.35
2000,12,Germany,BUTTER,20/03/2000,26/03/2000,321.09
2000,12,Ireland,BUTTER,20/03/2000,26/03/2000,292.04
2000,12,Greece,BUTTER,20/03/2000,26/03/2000,438.62
2000,12,Spain,BUTTER,20/03/2000,26/03/2000,290.15
2000,12,France,BUTTER,20/03/2000,26/03/2000,293.46
2000,12,Italy,BUTTER,20/03/2000,26/03/2000,246.25
2000,12,Netherlands,BUTTER,20/03/2000,26/03/2000,299.49
2000,12,Austria,BUTTER,20/03/2000,26/03/2000,324.48
2000,11,Belgium,BUTTER,13/03/2000,19/03/2000,295.86
2000,11,Denmark,BUTTER,13/03/2000,19/03/2000,377.29
2000,11,Germany,BUTTER,13/03/2000,19/03/2000,321.09
2000,11,Ireland,BUTTER,13/03/2000,19/03/2000,292.04
2000,11,Greece,BUTTER,13/03/2000,19/03/2000,428.61
2000,11,Spain,BUTTER,13/03/2000,19/03/2000,288.67
2000,11,France,BUTTER,13/03/2000,19/03/2000,293.46
2000,11,Italy,BUTTER,13/03/2000,19/03/2000,246.25
2000,11,Netherlands,BUTTER,13/03/2000,19/03/2000,297.23
2000,11,Austria,BUTTER,13/03/2000,19/03/2000,324.48
2000,11,Sweden,BUTTER,13/03/2000,19/03/2000,346.99
2000,10,Belgium,BUTTER,06/03/2000,12/03/2000,295.86
2000,10,Denmark,BUTTER,06/03/2000,12/03/2000,377.28
2000,10,Germany,BUTTER,06/03/2000,12/03/2000,321.09
2000,10,Ireland,BUTTER,06/03/2000,12/03/2000,292.04
2000,10,Greece,BUTTER,06/03/2000,12/03/2000,428.63
2000,10,Spain,BUTTER,06/03/2000,12/03/2000,294.5
2000,10,France,BUTTER,06/03/2000,12/03/2000,293.46
2000,10,Netherlands,BUTTER,06/03/2000,12/03/2000,297.23
2000,10,Austria,BUTTER,06/03/2000,12/03/2000,324.48
2000,10,Sweden,BUTTER,06/03/2000,12/03/2000,325.51
2000,9,Belgium,BUTTER,28/02/2000,05/03/2000,295.98
2000,9,Denmark,BUTTER,28/02/2000,05/03/2000,377.3
2000,9,Germany,BUTTER,28/02/2000,05/03/2000,323.65
2000,9,Ireland,BUTTER,28/02/2000,05/03/2000,292.04
2000,9,Greece,BUTTER,28/02/2000,05/03/2000,428.39
2000,9,Spain,BUTTER,28/02/2000,05/03/2000,289.77
2000,9,France,BUTTER,28/02/2000,05/03/2000,293.46
2000,9,Italy,BUTTER,28/02/2000,05/03/2000,248.21
2000,9,Netherlands,BUTTER,28/02/2000,05/03/2000,297.23
2000,9,Austria,BUTTER,28/02/2000,05/03/2000,324.48
2000,9,Sweden,BUTTER,28/02/2000,05/03/2000,352.86
2000,8,Belgium,BUTTER,21/02/2000,27/02/2000,295.86
2000,8,Denmark,BUTTER,21/02/2000,27/02/2000,377.32
2000,8,Germany,BUTTER,21/02/2000,27/02/2000,323.65
2000,8,Ireland,BUTTER,21/02/2000,27/02/2000,292.04
2000,8,Greece,BUTTER,21/02/2000,27/02/2000,428.35
2000,8,Spain,BUTTER,21/02/2000,27/02/2000,290.89
2000,8,France,BUTTER,21/02/2000,27/02/2000,293.46
