STATISTIC Label,Month,Product,UNIT,VALUE
Production of Dairy Products,1987 June,Cheese,000 Tonnes,11.2
Production of Dairy Products,1987 June,Butter,000 Tonnes,18.4
Production of Dairy Products,1987 June,Skimmed Milk Powder,000 Tonnes,24.4
Production of Dairy Products,1987 July,Cheese,000 Tonnes,9.9
Production of Dairy Products,1987 July,Butter,000 Tonnes,18.8
Production of Dairy Products,1987 July,Skimmed Milk Powder,000 Tonnes,19.2
Production of Dairy Products,1987 August,Cheese,000 Tonnes,8.4
Production of Dairy Products,1987 August,Butter,000 Tonnes,15.1
Production of Dairy Products,1987 August,Skimmed Milk Powder,000 Tonnes,11.8
Production of Dairy Products,1987 September,Cheese,000 Tonnes,7.4
Production of Dairy Products,1987 September,Butter,000 Tonnes,13.4
Production of Dairy Products,1987 September,Skimmed Milk Powder,000 Tonnes,6
Production of Dairy Products,1987 October,Cheese,000 Tonnes,4.1
Production of Dairy Products,1987 October,Butter,000 Tonnes,10.4
Production of Dairy Products,1987 October,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1987 November,Cheese,000 Tonnes,0.8
Production of Dairy Products,1987 November,Butter,000 Tonnes,4.5
Production of Dairy Products,1987 November,Skimmed Milk Powder,000 Tonnes,1.3
Production of Dairy Products,1987 December,Cheese,000 Tonnes,0
Production of Dairy Products,1987 December,Butter,000 Tonnes,2.4
Production of Dairy Products,1987 December,Skimmed Milk Powder,000 Tonnes,1.3
Production of Dairy Products,1988 January,Cheese,000 Tonnes,0
Production of Dairy Products,1988 January,Butter,000 Tonnes,2.4
Production of Dairy Products,1988 January,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1988 February,Cheese,000 Tonnes,1.1
Production of Dairy Products,1988 February,Butter,000 Tonnes,4.7
Production of Dairy Products,1988 February,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1988 March,Cheese,000 Tonnes,4.5
Production of Dairy Products,1988 March,Butter,000 Tonnes,9.7
Production of Dairy Products,1988 March,Skimmed Milk Powder,000 Tonnes,6.8
Production of Dairy Products,1988 April,Cheese,000 Tonnes,9.7
Production of Dairy Products,1988 April,Butter,000 Tonnes,13
Production of Dairy Products,1988 April,Skimmed Milk Powder,000 Tonnes,12.4
Production of Dairy Products,1988 May,Cheese,000 Tonnes,12.3
Production of Dairy Products,1988 May,Butter,000 Tonnes,17.7
Production of Dairy Products,1988 May,Skimmed Milk Powder,000 Tonnes,21.9
Production of Dairy Products,1988 June,Cheese,000 Tonnes,11.7
Production of Dairy Products,1988 June,Butter,000 Tonnes,17.5
Production of Dairy Products,1988 June,Skimmed Milk Powder,000 Tonnes,18.4
Production of Dairy Products,1988 July,Cheese,000 Tonnes,11.1
Production of Dairy Products,1988 July,Butter,000 Tonnes,15.5
Production of Dairy Products,1988 July,Skimmed Milk Powder,000 Tonnes,12.9
Production of Dairy Products,1988 August,Cheese,000 Tonnes,10.8
Production of Dairy Products,1988 August,Butter,000 Tonnes,15.9
Production of Dairy Products,1988 August,Skimmed Milk Powder,000 Tonnes,9.9
Production of Dairy Products,1988 September,Cheese,000 Tonnes,8.7
Production of Dairy Products,1988 September,Butter,000 Tonnes,12.6
Production of Dairy Products,1988 September,Skimmed Milk Powder,000 Tonnes,6.1
Production of Dairy Products,1988 October,Cheese,000 Tonnes,4.2
Production of Dairy Products,1988 October,Butter,000 Tonnes,8.3
Production of Dairy Products,1988 October,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,1988 November,Cheese,000 Tonnes,0.1
Production of Dairy Products,1988 November,Butter,000 Tonnes,4.5
Production of Dairy Products,1988 November,Skimmed Milk Powder,000 Tonnes,1.3
Production of Dairy Products,1988 December,Cheese,000 Tonnes,0.1
Production of Dairy Products,1988 December,Butter,000 Tonnes,2.1
Production of Dairy Products,1988 December,Skimmed Milk Powder,000 Tonnes,1.6
Production of Dairy Products,1989 January,Cheese,000 Tonnes,0
Production of Dairy Products,1989 January,Butter,000 Tonnes,3
Production of Dairy Products,1989 January,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,1989 February,Cheese,000 Tonnes,0.4
Production of Dairy Products,1989 February,Butter,000 Tonnes,5
Production of Dairy Products,1989 February,Skimmed Milk Powder,000 Tonnes,6
Production of Dairy Products,1989 March,Cheese,000 Tonnes,3.2
Production of Dairy Products,1989 March,Butter,000 Tonnes,10.3
Production of Dairy Products,1989 March,Skimmed Milk Powder,000 Tonnes,10.5
Production of Dairy Products,1989 April,Cheese,000 Tonnes,6.7
Production of Dairy Products,1989 April,Butter,000 Tonnes,14.1
Production of Dairy Products,1989 April,Skimmed Milk Powder,000 Tonnes,15.6
Production of Dairy Products,1989 May,Cheese,000 Tonnes,12.1
Production of Dairy Products,1989 May,Butter,000 Tonnes,21.4
Production of Dairy Products,1989 May,Skimmed Milk Powder,000 Tonnes,24.6
Production of Dairy Products,1989 June,Cheese,000 Tonnes,12.2
Production of Dairy Products,1989 June,Butter,000 Tonnes,19.9
Production of Dairy Products,1989 June,Skimmed Milk Powder,000 Tonnes,20.6
Production of Dairy Products,1989 July,Cheese,000 Tonnes,10.7
Production of Dairy Products,1989 July,Butter,000 Tonnes,16.6
Production of Dairy Products,1989 July,Skimmed Milk Powder,000 Tonnes,19
Production of Dairy Products,1989 August,Cheese,000 Tonnes,10.6
Production of Dairy Products,1989 August,Butter,000 Tonnes,16.4
Production of Dairy Products,1989 August,Skimmed Milk Powder,000 Tonnes,17.5
Production of Dairy Products,1989 September,Cheese,000 Tonnes,10.3
Production of Dairy Products,1989 September,Butter,000 Tonnes,12.9
Production of Dairy Products,1989 September,Skimmed Milk Powder,000 Tonnes,9.5
