STATISTIC,Statistic Label,TLIST(A1),Year,C02064V02491,Product Type,UNIT,VALUE
ABA02C02,Dairy Imports,2011,2011,11,Drinking Milk & Buttermilk,Tonnes,89
ABA02C03,Supplies = Uses of Milk Products,1992,1992,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1992,1992,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1992,1992,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1992,1992,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1992,1992,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1993,1993,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1993,1993,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1993,1993,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1993,1993,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1993,1993,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1994,1994,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1994,1994,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1994,1994,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1994,1994,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1994,1994,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1995,1995,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1995,1995,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1995,1995,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1995,1995,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1995,1995,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1996,1996,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1996,1996,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1996,1996,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1996,1996,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1996,1996,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1997,1997,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1997,1997,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1997,1997,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1997,1997,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1997,1997,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1998,1998,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1998,1998,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1998,1998,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1998,1998,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1998,1998,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1999,1999,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1999,1999,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1999,1999,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1999,1999,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,1999,1999,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2000,2000,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2000,2000,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2000,2000,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2000,2000,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2000,2000,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2001,2001,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2001,2001,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2001,2001,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2001,2001,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2001,2001,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2002,2002,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2002,2002,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2002,2002,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2002,2002,6,Milk Powder,Tonnes,
