STATISTIC,STATISTIC Label,TLIST(A1),Year,C02069V02500,Type of Fertiliser,UNIT,VALUE
AJA05,Fertiliser Price,1990,1990,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,151
AJA05,Fertiliser Price,1991,1991,2,Urea (46% N),Euro per Tonne,199
AJA05,Fertiliser Price,1991,1991,4,Granular Superphosphate (16% P),Euro per Tonne,242
AJA05,Fertiliser Price,1991,1991,6,Muriate of Potash (50% K),Euro per Tonne,194
AJA05,Fertiliser Price,1991,1991,7,Compound 0-10-20,Euro per Tonne,165
AJA05,Fertiliser Price,1991,1991,8,Compound 0-7-30,Euro per Tonne,162
AJA05,Fertiliser Price,1991,1991,9,Compound 7-6-17,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,10,Compound 10-10-20,Euro per Tonne,209
AJA05,Fertiliser Price,1991,1991,11,Compound 14-7-14,Euro per Tonne,200
AJA05,Fertiliser Price,1991,1991,12,Compound 18-6-12,Euro per Tonne,196
AJA05,Fertiliser Price,1991,1991,13,Compound 24-2.5-10,Euro per Tonne,200
AJA05,Fertiliser Price,1991,1991,14,Compound 27-2.5-5,Euro per Tonne,195
AJA05,Fertiliser Price,1991,1991,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1991,1991,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
AJA05,Fertiliser Price,1992,1992,2,Urea (46% N),Euro per Tonne,196
AJA05,Fertiliser Price,1992,1992,4,Granular Superphosphate (16% P),Euro per Tonne,240
AJA05,Fertiliser Price,1992,1992,6,Muriate of Potash (50% K),Euro per Tonne,191
AJA05,Fertiliser Price,1992,1992,7,Compound 0-10-20,Euro per Tonne,165
AJA05,Fertiliser Price,1992,1992,8,Compound 0-7-30,Euro per Tonne,163
AJA05,Fertiliser Price,1992,1992,9,Compound 7-6-17,Euro per Tonne,234
AJA05,Fertiliser Price,1992,1992,10,Compound 10-10-20,Euro per Tonne,205
AJA05,Fertiliser Price,1992,1992,11,Compound 14-7-14,Euro per Tonne,200
AJA05,Fertiliser Price,1992,1992,12,Compound 18-6-12,Euro per Tonne,193
AJA05,Fertiliser Price,1992,1992,13,Compound 24-2.5-10,Euro per Tonne,197
AJA05,Fertiliser Price,1992,1992,14,Compound 27-2.5-5,Euro per Tonne,192
AJA05,Fertiliser Price,1992,1992,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1992,1992,26,Compound 19-0-15,Euro per Tonne,
